sample,family,trim,inflate,retention,trim_relative,inflate_relative,relative_shift
DRR014782,f__Domibacillaceae,3.0,3.0,1.0,5.56273973090432e-07,6.147489334618295e-07,5.8474960371397543e-08
DRR014782,f__Parvicellaceae,3.0,3.0,1.0,5.56273973090432e-07,6.147489334618295e-07,5.8474960371397543e-08
DRR014782,f__Verrucomicrobiaceae,3.0,0.0,0.0,5.56273973090432e-07,0.0,-5.56273973090432e-07
DRR014782,f__Planctomycetaceae,3.0,0.0,0.0,5.56273973090432e-07,0.0,-5.56273973090432e-07
DRR014782,f__Pelagibacteraceae,3.0,0.0,0.0,5.56273973090432e-07,0.0,-5.56273973090432e-07
DRR014782,f__GBS-DC,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Syntrophobacteraceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__TCS55,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Desulfocucumaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__UBA1188,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__UBA184,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Thermoactinomycetaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__DSM-13327,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Thermotaleaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Thermoanaerobacteraceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__CALWSW01,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Coriobacteriaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Caldilineaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__UBA4068,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__UBA953,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__UBA6906,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Acetobacteraceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Actinomycetaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Adiutricaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__UBA9968,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Weeksellaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__UBA922,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__UBA2165,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__UBA2100,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__UBA5734,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Bin134,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__HGM11514,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Spirosomataceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Marinococcaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__JACIWG01,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__JAEDCM01,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Ilumatobacteraceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Hepatoplasmataceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__SM3-B62,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__SG130,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__JALVRC01,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__JAACPR01,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Hyphomonadaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Elainellaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Endomicrobiaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Garciellaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Streptosporangiaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Sporanaerobacteraceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Peptoniphilaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__PGYV01,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Methanobacteriaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Microcoleaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Moritellaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Phototrophicaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Lacipirellulaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__OMJO01,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Nitrososphaeraceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Veillonellaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Obscuribacteraceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Aquaspirillaceae,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__UMGS124,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__VadinHA17,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__UMGS416,2.0,2.0,1.0,3.708493153936213e-07,4.0983262230788636e-07,3.8983306914265047e-08
DRR014782,f__UMGS1840,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__UMGS1883,2.0,0.0,0.0,3.708493153936213e-07,0.0,-3.708493153936213e-07
DRR014782,f__Aestuariivirgaceae,1.0,0.0,0.0,1.8542465769681066e-07,0.0,-1.8542465769681066e-07
DRR014782,f__Ammonificaceae,1.0,0.0,0.0,1.8542465769681066e-07,0.0,-1.8542465769681066e-07
DRR014782,f__Amoebophilaceae,1.0,0.0,0.0,1.8542465769681066e-07,0.0,-1.8542465769681066e-07
